ix,iy,clng,clat,town,anchor_count,anchor_names,mentions_sum,oai_sum,poi_count,avg_rating,review_total,culture,tourism,mismatch,category
28,30,112.96625,22.93525,西樵镇,6,奎光楼|白云古寺|字祖庙|湖山胜迹门楼|第弌洞天牌坊|白云洞摩崖石刻,462.0,12.0,8,4.02,7,82.52,46.17,-36.35,沉睡潜力
30,31,112.97525,22.93975,西樵镇,3,龙母庙|冯夏威墓|官山圩,100.0,6.0,6,0.0,0,62.27,14.5,-47.77,沉睡潜力
31,28,112.97975,22.92625,西樵镇,5,傅氏宗祠|傅氏山庄南门|敦义崇礼碉楼|傅老榕旧居|西樵山无叶井,828.0,10.0,2,3.7,1,85.12,27.56,-57.56,沉睡潜力
15,43,112.90775,22.99375,西樵镇,2,松塘世大夫家庙|松塘东山祖祠,11.0,4.0,0,0.0,0,40.69,0.0,-40.69,一般地带
16,41,112.91225,22.98475,西樵镇,12,松塘汇川家塾|松塘见五大夫祠|松塘六世祖祠|松塘区氏宗祠|松塘司马第|松塘甘井,184.0,22.0,7,3.77,4,82.36,41.19,-41.17,沉睡潜力
15,41,112.90775,22.98475,丹灶镇,2,松塘塘西六世祖祠|烧番塔(松塘),11.0,4.0,0,0.0,0,40.69,0.0,-40.69,一般地带
31,30,112.97975,22.93525,西樵镇,2,西樵山百步云梯|西樵山抗日阵亡将士暨死难同胞纪念碑,1626.0,4.0,0,0.0,0,80.53,0.0,-80.53,沉睡潜力
24,27,112.94825,22.92175,西樵镇,2,禄舟万寿堂|禄舟村古街巷,10.0,4.0,2,3.5,2,39.99,29.44,-10.55,一般地带
18,36,112.92125,22.96225,丹灶镇,2,百西潘氏大宗祠|西樵镇百西村,177.0,5.0,1,3.8,1,64.9,24.94,-39.97,沉睡潜力
28,32,112.96625,22.94425,西樵镇,1,吉水窦,8.0,2.0,11,4.37,13,31.84,53.41,21.57,空心景点
18,35,112.92125,22.95775,西樵镇,1,铁屎墩冶炼遗址,0.0,2.0,2,0.0,0,14.02,8.18,-5.83,双低空白
30,27,112.97525,22.92175,西樵镇,1,大科峰摩崖石刻,19.0,2.0,6,0.0,0,38.32,14.5,-23.83,一般地带
27,27,112.96175,22.92175,西樵镇,1,玉廪峰摩崖石刻,0.0,2.0,0,0.0,0,14.02,0.0,-14.02,双低空白
31,26,112.97975,22.91725,西樵镇,1,九龙岩摩崖石刻,2.0,2.0,1,0.0,0,22.93,5.16,-17.77,双低空白
14,49,112.90325,23.02075,丹灶镇,1,康有为故居,1500.0,4.0,4,4.2,3,79.88,37.94,-41.94,沉睡潜力
17,50,112.91675,23.02525,丹灶镇,2,方献夫墓|竹径圩,38.0,5.0,2,3.6,1,52.58,27.16,-25.43,沉睡潜力
10,53,112.88525,23.03875,丹灶镇,2,仙迹丹泉|阴骘井,1.0,5.0,3,3.53,3,28.48,33.6,5.11,一般地带
15,74,112.90775,23.13325,丹灶镇,1,南沙陈氏宗祠,28.0,2.0,0,0.0,0,41.34,0.0,-41.34,一般地带
20,57,112.93025,23.05675,狮山镇,1,沙水翰林步头,0.0,2.0,16,0.0,0,14.02,21.11,7.09,双低空白
10,55,112.88525,23.04775,丹灶镇,1,贞烈牌坊,8.0,2.0,1,3.9,1,31.84,25.34,-6.51,一般地带
23,64,112.94375,23.08825,狮山镇,1,东联吴氏大宗祠,11.0,2.0,1,3.7,2,34.18,27.21,-6.96,一般地带
20,64,112.93025,23.08825,狮山镇,1,恒德徐公祠,0.0,2.0,1,3.9,1,14.02,25.34,11.32,一般地带
17,49,112.91675,23.02075,丹灶镇,1,通心岗遗址,0.0,2.0,1,3.5,1,14.02,23.74,9.72,双低空白
18,50,112.92125,23.02525,丹灶镇,1,方道隆墓,3.0,2.0,0,0.0,0,25.26,0.0,-25.26,一般地带
42,25,113.02925,22.91275,九江镇,1,崔氏大宗祠,10.0,3.0,5,0.0,0,37.14,13.35,-23.79,一般地带
39,7,113.01575,22.83175,九江镇,2,九江吴家大院|三元桥,163.0,5.0,8,3.6,13,64.24,48.19,-16.05,沉睡潜力
36,8,113.00225,22.83625,九江镇,1,良二千石牌坊,13.0,3.0,27,5.0,0,39.1,44.82,5.73,一般地带
36,10,113.00225,22.84525,九江镇,1,慈悲宫牌坊,8.0,3.0,3,0.0,0,35.51,10.33,-25.19,一般地带
27,16,112.96175,22.87225,九江镇,2,烟桥何氏大宗祠|烟桥村古桥,53.0,5.0,2,4.4,10,55.22,41.61,-13.61,一般地带
42,7,113.02925,22.83175,丹灶镇,2,上东岑局楼|岑局楼,0.0,4.0,0,0.0,0,20.53,0.0,-20.53,双低空白
36,11,113.00225,22.84975,丹灶镇,1,探花桥,6.0,2.0,0,0.0,0,29.8,0.0,-29.8,一般地带
41,9,113.02475,22.84075,九江镇,1,魁星塔,0.0,2.0,3,0.0,0,14.02,10.33,-3.69,双低空白
44,3,113.03825,22.81375,九江镇,2,破排角遗址|沙口圩,6.0,4.0,1,4.1,1,36.32,26.14,-10.18,一般地带
42,24,113.02925,22.90825,丹灶镇,1,冯氏家族墓,5.0,2.0,0,0.0,0,28.55,0.0,-28.55,一般地带
37,8,113.00675,22.83625,丹灶镇,1,朱子襄墓,11.0,2.0,4,0.0,0,34.18,11.99,-22.19,一般地带
39,6,113.01575,22.82725,丹灶镇,1,李卓峰墓,12.0,2.0,1,0.0,0,34.83,5.16,-29.66,一般地带
43,4,113.03375,22.81825,九江镇,1,九江双蒸酒酿制技艺,199.0,3.0,2,4.2,1,60.68,29.56,-31.12,沉睡潜力
36,13,113.00225,22.85875,九江镇,4,九江煎堆制作技艺|赛龙舟（九江传统龙舟）|九江传统鱼花技艺|周家拳,567.0,9.0,4,4.1,1,80.84,32.96,-47.87,沉睡潜力
33,32,112.98875,22.94425,西樵镇,1,西樵传统缫丝技艺,106.0,2.0,2,3.8,1,51.93,27.96,-23.97,沉睡潜力
34,36,112.99325,22.96225,西樵镇,1,西樵大饼制作技艺,125.0,2.0,0,0.0,0,53.26,0.0,-53.26,沉睡潜力
22,39,112.93925,22.97575,西樵镇,1,香云纱（坯纱）织造技艺,22.0,2.0,3,3.5,2,39.46,31.58,-7.88,一般地带
76,57,113.18225,23.05675,桂城街道,1,广式家具制作技艺,0.0,2.0,5,3.6,2,14.02,35.0,20.98,一般地带
83,51,113.21375,23.02975,桂城街道,1,"平洲传统玉器
制作技艺",41.0,2.0,5,0.0,0,44.34,13.35,-30.99,一般地带
71,48,113.15975,23.01625,桂城街道,1,唢呐制作技艺,0.0,2.0,85,4.3,1,14.02,54.96,40.94,空心景点
55,78,113.08775,23.15125,狮山镇,1,佛鹤狮头制作,12.0,1.0,4,4.13,4,29.65,39.13,9.48,一般地带
74,90,113.17325,23.20525,里水镇,1,里水毛巾织造技艺,46.0,1.0,0,0.0,0,40.08,0.0,-40.08,一般地带
27,36,112.96175,22.96225,西樵镇,1,南海醒狮（采青技艺）,210.0,1.0,1,0.0,0,52.27,5.16,-47.1,沉睡潜力
32,38,112.98425,22.97125,西樵镇,1,南海广式旺阁酱油酿造技艺,159.0,1.0,0,0.0,0,50.02,0.0,-50.02,沉睡潜力
25,31,112.95275,22.93975,西樵镇,3,庙会（大仙诞庙会）|西樵山传说|西樵白眉武术,922.0,5.0,10,0.0,0,78.26,17.86,-60.39,沉睡潜力
16,55,112.91225,23.04775,丹灶镇,6,龙舟说唱（南海）|赤坎盲公话|西联村神诞|传统龙舟（丹灶扒龙舟）|丹灶葛洪炼丹传说|烧番塔(仙岗),399.0,9.0,6,0.0,0,77.99,14.5,-63.49,沉睡潜力
29,24,112.97075,22.90825,西樵镇,1,南海农谚,159.0,1.0,32,4.0,12,50.02,58.98,8.95,核心耦合
24,33,112.94825,22.94875,西樵镇,1,简村北帝庙会,204.0,1.0,5,0.0,0,52.03,13.35,-38.69,沉睡潜力
25,35,112.95275,22.95775,西樵镇,2,大头佛（民乐大头佛）|民乐市,92.0,3.0,2,3.8,1,54.46,27.96,-26.5,沉睡潜力
39,8,113.01575,22.83625,九江镇,1,大头佛,19.0,2.0,4,0.0,0,38.32,11.99,-26.33,一般地带
31,8,112.97975,22.83625,九江镇,1,九江灯谜,161.0,2.0,0,0.0,0,55.3,0.0,-55.3,沉睡潜力
37,9,113.00675,22.84075,九江镇,1,华岳心意六合八法拳,0.0,2.0,2,0.0,0,14.02,8.18,-5.83,双低空白
11,53,112.88975,23.03875,丹灶镇,1,仙岗村古井(蟹泉仙井),13.0,2.0,0,0.0,0,35.43,0.0,-35.43,一般地带
11,51,112.88975,23.02975,丹灶镇,1,西城圩市建筑群,12.0,2.0,0,0.0,0,34.83,0.0,-34.83,一般地带
16,47,112.91225,23.01175,丹灶镇,1,苏州银河,4.0,2.0,0,0.0,0,27.07,0.0,-27.07,一般地带
18,42,112.92125,22.98925,西樵镇,1,塱心码头,0.0,2.0,1,0.0,0,14.02,5.16,-8.85,双低空白
17,43,112.91675,22.99375,西樵镇,2,松塘月池及古祠堂群|西樵镇松塘村,231.0,6.0,0,0.0,0,69.02,0.0,-69.02,沉睡潜力
24,36,112.94825,22.96225,西樵镇,1,民乐圩市建筑群/民乐窦,45.0,2.0,13,4.0,1,45.08,40.24,-4.85,一般地带
29,29,112.97075,22.93075,西樵镇,1,西樵山天湖,835.0,2.0,14,0.0,0,68.61,20.18,-48.44,沉睡潜力
31,22,112.97975,22.89925,西樵镇,1,渔耕粤韵桑基鱼塘,16.0,2.0,0,0.0,0,37.0,0.0,-37.0,一般地带
31,20,112.97975,22.89025,丹灶镇,1,朝山红楼,4.0,2.0,5,0.0,0,27.07,13.35,-13.73,一般地带
31,13,112.97975,22.85875,九江镇,1,风水百足桥,0.0,2.0,0,0.0,0,14.02,0.0,-14.02,双低空白
22,11,112.93925,22.84975,九江镇,1,河清码头,4.0,2.0,0,0.0,0,27.07,0.0,-27.07,一般地带
38,7,113.01125,22.83175,丹灶镇,2,红棉公园民国建筑群|九江圩,247.0,4.0,15,3.6,1,65.27,39.63,-25.64,沉睡潜力
47,4,113.05175,22.81825,九江镇,1,中西郑家大院,0.0,2.0,0,0.0,0,14.02,0.0,-14.02,双低空白
10,29,112.88525,22.93075,西樵镇,1,平沙岛,7.0,2.0,1,0.0,0,30.89,5.16,-25.72,一般地带
33,31,112.98875,22.93975,西樵镇,1,西樵镇,145.0,4.0,7,3.75,2,60.97,37.74,-23.23,沉睡潜力
27,34,112.96175,22.95325,西樵镇,1,西樵镇简村村,225.0,3.0,2,0.0,0,61.67,8.18,-53.48,沉睡潜力
19,37,112.92575,22.96675,丹灶镇,1,西樵镇百西村头村,159.0,3.0,2,0.0,0,58.87,8.18,-50.68,沉睡潜力
28,17,112.96625,22.87675,西樵镇,2,九江镇烟桥烟南村|九江镇烟桥村,584.0,7.0,1,0.0,0,78.23,5.16,-73.06,沉睡潜力
11,55,112.88975,23.04775,丹灶镇,1,丹灶镇仙岗村,67.0,3.0,1,0.0,0,51.92,5.16,-46.76,沉睡潜力
9,56,112.88075,23.05225,丹灶镇,1,丹灶镇仙岗社区,65.0,4.0,0,0.0,0,54.53,0.0,-54.53,沉睡潜力
22,38,112.93925,22.97125,丹灶镇,1,丹灶镇和平村,63.0,3.0,0,0.0,0,51.43,0.0,-51.43,沉睡潜力
16,67,112.91225,23.10175,狮山镇,1,横江圩,4.0,2.0,2,0.0,0,27.07,8.18,-18.89,一般地带
11,54,112.88975,23.04325,丹灶镇,1,仙岗市,2.0,2.0,0,0.0,0,22.93,0.0,-22.93,双低空白
12,50,112.89425,23.02525,丹灶镇,1,西城市,10.0,2.0,1,0.0,0,33.47,5.16,-28.31,一般地带
16,46,112.91225,23.00725,丹灶镇,1,银河桥市,2.0,2.0,0,0.0,0,22.93,0.0,-22.93,双低空白
25,51,112.95275,23.02975,丹灶镇,1,罗行圩,10.0,2.0,2,3.5,1,33.47,26.76,-6.71,一般地带
28,41,112.96625,22.98475,西樵镇,1,大岸圩,6.0,2.0,2,0.0,0,29.8,8.18,-21.62,一般地带
17,41,112.91675,22.98475,丹灶镇,1,沙基圩,1.0,2.0,1,0.0,0,19.64,5.16,-14.48,双低空白
18,39,112.92125,22.97575,丹灶镇,1,大岗圩,21.0,2.0,0,0.0,0,39.1,0.0,-39.1,一般地带
14,29,112.90325,22.93075,西樵镇,1,太平圩,23.0,2.0,0,0.0,0,39.8,0.0,-39.8,一般地带
33,19,112.98875,22.88575,丹灶镇,1,大桐圩,3.0,2.0,2,0.0,0,25.26,8.18,-17.08,一般地带
23,11,112.94375,22.84975,西樵镇,1,河清圩,4.0,2.0,0,0.0,0,27.07,0.0,-27.07,一般地带
37,10,113.00675,22.84525,九江镇,1,大伸市,0.0,2.0,66,4.55,1,14.02,54.1,40.08,空心景点
45,6,113.04275,22.82725,九江镇,1,大谷市,3.0,2.0,2,3.0,2,25.26,27.44,2.17,一般地带
82,47,113.20925,23.01175,桂城街道,0,,0.0,0.0,1,4.3,1,0.0,26.94,26.94,一般地带
10,13,112.88525,22.85875,西樵镇,0,,0.0,0.0,1,4.1,2,0.0,28.81,28.81,一般地带
63,70,113.12375,23.11525,里水镇,0,,0.0,0.0,10,4.1,3,0.0,43.41,43.41,一般地带
81,86,113.20475,23.18725,里水镇,0,,0.0,0.0,1,4.3,1,0.0,26.94,26.94,一般地带
79,52,113.19575,23.03425,桂城街道,0,,0.0,0.0,12,4.23,3,0.0,45.18,45.18,一般地带
69,45,113.15075,23.00275,桂城街道,0,,0.0,0.0,9,3.9,1,0.0,37.33,37.33,一般地带
56,106,113.09225,23.27725,里水镇,0,,0.0,0.0,1,4.0,1,0.0,25.74,25.74,一般地带
69,84,113.15075,23.17825,里水镇,0,,0.0,0.0,2,4.05,2,0.0,31.64,31.64,一般地带
63,69,113.12375,23.11075,大沥镇,0,,0.0,0.0,5,4.03,7,0.0,43.19,43.19,一般地带
65,85,113.13275,23.18275,里水镇,0,,0.0,0.0,1,3.9,3,0.0,29.91,29.91,一般地带
67,72,113.14175,23.12425,里水镇,0,,0.0,0.0,4,4.2,1,0.0,33.36,33.36,一般地带
72,89,113.16425,23.20075,里水镇,0,,0.0,0.0,96,4.05,2,0.0,57.53,57.53,空心景点
48,56,113.05625,23.05225,狮山镇,0,,0.0,0.0,1,3.9,1,0.0,25.34,25.34,一般地带
75,62,113.17775,23.07925,里水镇,0,,0.0,0.0,1,4.1,2,0.0,28.81,28.81,一般地带
63,56,113.12375,23.05225,桂城街道,0,,0.0,0.0,18,4.2,1,0.0,43.31,43.31,一般地带
46,60,113.04725,23.07025,狮山镇,0,,0.0,0.0,101,4.0,1,0.0,55.03,55.03,空心景点
33,37,112.98875,22.96675,西樵镇,0,,0.0,0.0,1,4.1,1,0.0,26.14,26.14,一般地带
57,104,113.09675,23.26825,里水镇,0,,0.0,0.0,1,3.9,1,0.0,25.34,25.34,一般地带
59,91,113.10575,23.20975,大沥镇,0,,0.0,0.0,1,4.0,2,0.0,28.41,28.41,一般地带
28,61,112.96625,23.07475,狮山镇,0,,0.0,0.0,1,4.1,1,0.0,26.14,26.14,一般地带
60,84,113.11025,23.17825,大沥镇,0,,0.0,0.0,3,3.97,3,0.0,35.36,35.36,一般地带
52,95,113.07425,23.22775,大沥镇,0,,0.0,0.0,10,3.5,3,0.0,41.01,41.01,一般地带
64,88,113.12825,23.19625,里水镇,0,,0.0,0.0,3,3.9,2,0.0,33.18,33.18,一般地带
80,64,113.20025,23.08825,大沥镇,0,,0.0,0.0,1,4.3,1,0.0,26.94,26.94,一般地带
40,60,113.02025,23.07025,狮山镇,0,,0.0,0.0,2,4.2,1,0.0,29.56,29.56,一般地带
41,69,113.02475,23.11075,狮山镇,0,,0.0,0.0,1,4.1,1,0.0,26.14,26.14,一般地带
66,66,113.13725,23.09725,里水镇,0,,0.0,0.0,11,4.2,1,0.0,39.89,39.89,一般地带
24,56,112.94825,23.05225,丹灶镇,0,,0.0,0.0,3,4.3,1,0.0,32.1,32.1,一般地带
80,74,113.20025,23.13325,里水镇,0,,0.0,0.0,10,4.2,1,0.0,39.24,39.24,一般地带
45,7,113.04275,22.83175,九江镇,0,,0.0,0.0,1,4.2,1,0.0,26.54,26.54,一般地带
40,59,113.02025,23.06575,狮山镇,0,,0.0,0.0,11,4.1,1,0.0,39.49,39.49,一般地带
57,71,113.09675,23.11975,大沥镇,0,,0.0,0.0,48,4.3,1,0.0,50.77,50.77,空心景点
50,58,113.06525,23.06125,大沥镇,0,,0.0,0.0,1,4.1,2,0.0,28.81,28.81,一般地带
65,69,113.13275,23.11075,里水镇,0,,0.0,0.0,8,4.0,1,0.0,36.94,36.94,一般地带
26,55,112.95725,23.04775,丹灶镇,0,,0.0,0.0,2,3.9,1,0.0,28.36,28.36,一般地带
34,60,112.99325,23.07025,狮山镇,0,,0.0,0.0,1,3.9,3,0.0,29.91,29.91,一般地带
63,73,113.12375,23.12875,里水镇,0,,0.0,0.0,2,4.1,1,0.0,29.16,29.16,一般地带
68,73,113.14625,23.12875,里水镇,0,,0.0,0.0,2,4.2,1,0.0,29.56,29.56,一般地带
73,102,113.16875,23.25925,里水镇,0,,0.0,0.0,1,4.2,1,0.0,26.54,26.54,一般地带
75,69,113.17775,23.11075,大沥镇,0,,0.0,0.0,12,4.0,1,0.0,39.68,39.68,一般地带
37,5,113.00675,22.82275,九江镇,0,,0.0,0.0,1,4.1,1,0.0,26.14,26.14,一般地带
67,87,113.14175,23.19175,里水镇,0,,0.0,0.0,4,4.1,2,0.0,35.64,35.64,一般地带
60,63,113.11025,23.08375,大沥镇,0,,0.0,0.0,4,4.2,1,0.0,33.36,33.36,一般地带
58,74,113.10125,23.13325,狮山镇,0,,0.0,0.0,2,4.15,2,0.0,32.04,32.04,一般地带
50,66,113.06525,23.09725,大沥镇,0,,0.0,0.0,2,4.1,1,0.0,29.16,29.16,一般地带
59,90,113.10575,23.20525,大沥镇,0,,0.0,0.0,1,3.9,8,0.0,35.26,35.26,一般地带
55,85,113.08775,23.18275,大沥镇,0,,0.0,0.0,2,4.0,1,0.0,28.76,28.76,一般地带
48,85,113.05625,23.18275,狮山镇,0,,0.0,0.0,1,3.9,2,0.0,28.01,28.01,一般地带
67,83,113.14175,23.17375,里水镇,0,,0.0,0.0,14,4.1,1,0.0,41.15,41.15,一般地带
68,53,113.14625,23.03875,桂城街道,0,,0.0,0.0,148,3.97,3,0.0,62.31,62.31,空心景点
88,52,113.23625,23.03425,桂城街道,0,,0.0,0.0,66,4.1,2,0.0,54.98,54.98,空心景点
34,66,112.99325,23.09725,狮山镇,0,,0.0,0.0,2,4.05,13,0.0,41.8,41.8,一般地带
36,71,113.00225,23.11975,狮山镇,0,,0.0,0.0,4,4.0,3,0.0,37.14,37.14,一般地带
70,99,113.15525,23.24575,里水镇,0,,0.0,0.0,3,4.1,1,0.0,31.3,31.3,一般地带
70,97,113.15525,23.23675,里水镇,0,,0.0,0.0,1,3.7,1,0.0,24.54,24.54,双低空白
31,80,112.97975,23.16025,狮山镇,0,,0.0,0.0,1,4.0,1,0.0,25.74,25.74,一般地带
42,87,113.02925,23.19175,狮山镇,0,,0.0,0.0,2,3.9,1,0.0,28.36,28.36,一般地带
54,75,113.08325,23.13775,大沥镇,0,,0.0,0.0,1,4.0,1,0.0,25.74,25.74,一般地带
33,76,112.98875,23.14225,狮山镇,0,,0.0,0.0,1,4.0,1,0.0,25.74,25.74,一般地带
76,87,113.18225,23.19175,里水镇,0,,0.0,0.0,3,3.9,1,0.0,30.5,30.5,一般地带
20,39,112.93025,22.97575,丹灶镇,0,,0.0,0.0,2,4.0,1,0.0,28.76,28.76,一般地带
24,38,112.94825,22.97125,西樵镇,0,,0.0,0.0,2,4.1,1,0.0,29.16,29.16,一般地带
71,46,113.15975,23.00725,桂城街道,0,,0.0,0.0,3,3.85,2,0.0,32.98,32.98,一般地带
73,55,113.16875,23.04775,桂城街道,0,,0.0,0.0,9,4.25,4,0.0,44.78,44.78,一般地带
34,91,112.99325,23.20975,狮山镇,0,,0.0,0.0,5,4.1,1,0.0,34.32,34.32,一般地带
79,49,113.19575,23.02075,桂城街道,0,,0.0,0.0,3,3.8,1,0.0,30.1,30.1,一般地带
58,92,113.10125,23.21425,大沥镇,0,,0.0,0.0,1,4.0,1,0.0,25.74,25.74,一般地带
65,67,113.13275,23.10175,里水镇,0,,0.0,0.0,4,3.9,2,0.0,34.84,34.84,一般地带
70,65,113.15525,23.09275,里水镇,0,,0.0,0.0,2,3.9,1,0.0,28.36,28.36,一般地带
66,63,113.13725,23.08375,里水镇,0,,0.0,0.0,7,4.2,1,0.0,36.87,36.87,一般地带
26,54,112.95725,23.04325,丹灶镇,0,,0.0,0.0,1,4.0,1,0.0,25.74,25.74,一般地带
75,78,113.17775,23.15125,里水镇,0,,0.0,0.0,3,4.0,1,0.0,30.9,30.9,一般地带
34,87,112.99325,23.19175,狮山镇,0,,0.0,0.0,4,3.8,6,0.0,40.03,40.03,一般地带
55,79,113.08775,23.15575,大沥镇,0,,0.0,0.0,3,3.7,2,0.0,32.38,32.38,一般地带
74,63,113.17325,23.08375,里水镇,0,,0.0,0.0,12,3.9,3,0.0,43.86,43.86,一般地带
25,23,112.95275,22.90375,西樵镇,0,,0.0,0.0,3,4.0,1,0.0,30.9,30.9,一般地带
37,76,113.00675,23.14225,狮山镇,0,,0.0,0.0,3,3.9,1,0.0,30.5,30.5,一般地带
61,88,113.11475,23.19625,大沥镇,0,,0.0,0.0,1,4.0,1,0.0,25.74,25.74,一般地带
75,55,113.17775,23.04775,桂城街道,0,,0.0,0.0,2,3.75,2,0.0,30.44,30.44,一般地带
61,66,113.11475,23.09725,大沥镇,0,,0.0,0.0,1,3.9,1,0.0,25.34,25.34,一般地带
60,83,113.11025,23.17375,大沥镇,0,,0.0,0.0,5,4.0,14,0.0,47.22,47.22,一般地带
30,24,112.97525,22.90825,西樵镇,0,,0.0,0.0,7,3.7,105,0.0,61.07,61.07,空心景点
56,97,113.09225,23.23675,大沥镇,0,,0.0,0.0,2,3.85,2,0.0,30.84,30.84,一般地带
53,84,113.07875,23.17825,大沥镇,0,,0.0,0.0,2,3.95,12,0.0,40.91,40.91,一般地带
11,56,112.88975,23.05225,狮山镇,0,,0.0,0.0,3,4.3,1,0.0,32.1,32.1,一般地带
79,76,113.19575,23.14225,大沥镇,0,,0.0,0.0,94,4.45,2,0.0,58.98,58.98,空心景点
74,95,113.17325,23.22775,里水镇,0,,0.0,0.0,2,4.4,14,0.0,43.66,43.66,一般地带
47,58,113.05175,23.06125,狮山镇,0,,0.0,0.0,17,4.5,5,0.0,51.36,51.36,空心景点
76,64,113.18225,23.08825,大沥镇,0,,0.0,0.0,5,4.5,1,0.0,35.92,35.92,一般地带
32,64,112.98425,23.08825,狮山镇,0,,0.0,0.0,5,4.4,1,0.0,35.52,35.52,一般地带
68,54,113.14625,23.04325,桂城街道,0,,0.0,0.0,27,4.6,1,0.0,47.8,47.8,一般地带
68,69,113.14625,23.11075,里水镇,0,,0.0,0.0,23,4.58,8,0.0,56.5,56.5,空心景点
89,48,113.24075,23.01625,桂城街道,0,,0.0,0.0,2,4.6,10,0.0,42.41,42.41,一般地带
82,53,113.20925,23.03875,桂城街道,0,,0.0,0.0,6,4.7,7,0.0,47.02,47.02,一般地带
67,60,113.14175,23.07025,桂城街道,0,,0.0,0.0,12,4.75,1,0.0,42.68,42.68,一般地带
49,60,113.06075,23.07025,狮山镇,0,,0.0,0.0,1,4.6,7,0.0,37.29,37.29,一般地带
86,51,113.22725,23.02975,桂城街道,0,,0.0,0.0,3,4.6,11,0.0,45.13,45.13,一般地带
71,84,113.15975,23.17825,里水镇,0,,0.0,0.0,8,4.4,1,0.0,38.54,38.54,一般地带
72,61,113.16425,23.07475,桂城街道,0,,0.0,0.0,12,4.05,2,0.0,42.56,42.56,一般地带
68,60,113.14625,23.07025,桂城街道,0,,0.0,0.0,12,4.25,11,0.0,52.51,52.51,空心景点
53,94,113.07875,23.22325,狮山镇,0,,0.0,0.0,6,4.4,1,0.0,36.67,36.67,一般地带
59,75,113.10575,23.13775,大沥镇,0,,0.0,0.0,3,4.3,1,0.0,32.1,32.1,一般地带
58,63,113.10125,23.08375,大沥镇,0,,0.0,0.0,2,4.15,2,0.0,32.04,32.04,一般地带
53,72,113.07875,23.12425,大沥镇,0,,0.0,0.0,3,3.9,2,0.0,33.18,33.18,一般地带
66,65,113.13725,23.09275,里水镇,0,,0.0,0.0,5,4.5,1,0.0,35.92,35.92,一般地带
80,84,113.20025,23.17825,里水镇,0,,0.0,0.0,102,4.3,1,0.0,56.3,56.3,空心景点
79,53,113.19575,23.03875,桂城街道,0,,0.0,0.0,9,4.4,11,0.0,51.15,51.15,空心景点
70,64,113.15525,23.08825,里水镇,0,,0.0,0.0,3,4.3,1,0.0,32.1,32.1,一般地带
34,72,112.99325,23.12425,狮山镇,0,,0.0,0.0,31,4.3,1,0.0,47.59,47.59,一般地带
26,30,112.95725,22.93525,西樵镇,0,,0.0,0.0,23,4.2,15,0.0,58.77,58.77,空心景点
78,71,113.19125,23.11975,里水镇,0,,0.0,0.0,3,4.4,2,0.0,35.18,35.18,一般地带
68,55,113.14625,23.04775,桂城街道,0,,0.0,0.0,11,4.43,3,0.0,45.38,45.38,一般地带
72,88,113.16425,23.19625,里水镇,0,,0.0,0.0,54,3.6,2,0.0,51.51,51.51,空心景点
69,78,113.15075,23.15125,里水镇,0,,0.0,0.0,1,4.6,11,0.0,39.96,39.96,一般地带
72,44,113.16425,22.99825,桂城街道,0,,0.0,0.0,3,4.4,2,0.0,35.18,35.18,一般地带
74,47,113.17325,23.01175,桂城街道,0,,0.0,0.0,1,4.5,1,0.0,27.74,27.74,一般地带
43,62,113.03375,23.07925,狮山镇,0,,0.0,0.0,1,0.0,0,0.0,5.16,5.16,双低空白
69,60,113.15075,23.07025,桂城街道,0,,0.0,0.0,43,4.3,1,0.0,49.97,49.97,一般地带
